"id","total_2011","total_2012","total_2013","population_2011","population_2012","population_2013","rate_2011","rate_2012","rate_2013"
"21079",2,1,2,5472,5529,5584,0.37,0.18,0.36
"21080",0,0,0,2832,2825,2811,0,0,0
"21081",1,0,1,3767,3778,3788,0.27,0,0.26
"21082",3,0,1,8350,8438,8522,0.36,0,0.12
"21083",1,0,3,25674,25699,25762,0.039,0,0.12
"21084",0,0,1,6901,6913,6936,0,0,0.14
"21085",81,121,112,74791,75406,76030,1.1,1.6,1.5
"21086",3,0,5,12854,12942,13036,0.23,0,0.38
"21087",4,2,2,13032,13138,13243,0.31,0.15,0.15
"21088",1,1,0,4653,4656,4664,0.21,0.21,0
"21089",0,1,5,13246,13298,13362,0,0.075,0.37
"21090",1,11,19,19744,20244,20680,0.051,0.54,0.92
"21091",0,7,18,10552,10662,10768,0,0.66,1.7
"21092",0,0,0,5341,5370,5390,0,0,0
"21093",0,2,3,7864,7868,7882,0,0.25,0.38
"21094",6,40,35,32708,33117,33508,0.18,1.2,1
"21095",0,1,0,506,514,516,0,1.9,0
"21096",1,2,1,2717,2746,2773,0.37,0.73,0.36
"21097",1,2,0,2265,2280,2295,0.44,0.88,0
"21098",6,3,3,6426,6491,6547,0.93,0.46,0.46
"21099",2,7,18,19442,19578,19724,0.1,0.36,0.91
"21100",2,2,1,9859,9882,9918,0.2,0.2,0.1
"21101",1,2,2,3683,3712,3738,0.27,0.54,0.54
"21102",0,4,1,12518,12718,12890,0,0.31,0.078
"21103",4,3,9,6208,6276,6336,0.64,0.48,1.4
"21104",2,7,14,28359,28754,29138,0.071,0.24,0.48
"21105",1,2,2,4956,4988,5020,0.2,0.4,0.4
"21106",0,13,14,27216,27844,28408,0,0.47,0.49
"21107",0,1,2,11643,11616,11553,0,0.086,0.17
"21108",12,21,28,17345,17636,17904,0.69,1.2,1.6
"21109",2,5,6,21438,21726,21969,0.093,0.23,0.27
"21110",43,26,32,44304,44786,45276,0.97,0.58,0.71
"21111",3,8,10,18765,18852,18943,0.16,0.42,0.53
"21112",0,7,4,9523,9548,9576,0,0.73,0.42
"21113",0,6,2,4748,4800,4842,0,1.2,0.41
"21114",9061,14441,10970,1583012,1597825,1612526,5.7,9,6.8
"21115",33,34,42,48955,49545,50135,0.67,0.69,0.84
"21116",0,3,2,21801,21955,22101,0,0.14,0.09
"21117",5,10,14,14538,14706,14872,0.34,0.68,0.94
"21118",3,21,7,26218,26415,26642,0.11,0.8,0.26
"21119",357,777,703,107294,110340,112972,3.3,7,6.2
