"id","state_code","total_2011","total_2012","total_2013","population_2011","population_2012","population_2013","rate_2011","rate_2012","rate_2013","h2011","h2012","h2013","rh2011","rh2012","rh2013"
26034,26,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0
26035,26,0,0,0,13002,0,0,0,0,0,0,0,0,0,0,0
26036,26,0,0,0,31384,0,0,0,0,0,0,0,0,0,0,0
26038,26,0,0,0,4869,0,0,0,0,0,0,0,0,0,0,0
26039,26,0,0,0,6626,0,0,0,0,0,0,0,0,0,0,0
26040,26,0,0,0,2158,0,0,0,0,0,0,0,0,0,0,0
26041,26,0,0,0,13242,0,0,0,0,0,0,0,0,0,0,0
26042,26,455,416,231,164462,166602,170000,2.8,2.5,1.4,18,20,6,0.11,0.12,0.036
26043,26,971,812,448,231456,235352,240000,4.2,3.5,1.9,81,63,24,0.35,0.27,0.1
26044,26,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0
26045,26,0,0,0,2987,0,0,0,0,0,0,0,0,0,0,0
26046,26,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0
26047,26,0,0,0,9777,0,0,0,0,0,0,0,0,0,0,0
26048,26,238,219,71,61698,63436,64000,3.9,3.5,1.1,15,20,1,0.24,0.32,0.016
26049,26,0,0,0,3471,0,0,0,0,0,0,0,0,0,0,0
26050,26,0,0,0,1636,0,0,0,0,0,0,0,0,0,0,0
26051,26,0,0,0,5348,0,0,0,0,0,0,0,0,0,0,0
26052,26,0,0,0,6192,0,0,0,0,0,0,0,0,0,0,0
26053,26,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0
26054,26,0,0,0,575,0,0,0,0,0,0,0,0,0,0,0
26055,26,567,631,316,187263,190326,190000,3,3.3,1.6,7,9,17,0.037,0.047,0.089
26056,26,0,0,0,9168,0,0,0,0,0,0,0,0,0,0,0
26057,26,0,0,0,1683,0,0,0,0,0,0,0,0,0,0,0
26058,26,0,0,0,16698,0,0,0,0,0,0,0,0,0,0,0
26059,26,0,0,0,2084,0,0,0,0,0,0,0,0,0,0,0
26060,26,0,0,0,2784,0,0,0,0,0,0,0,0,0,0,0
26061,26,0,0,0,1325,0,0,0,0,0,0,0,0,0,0,0
26062,26,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0
26063,26,0,0,0,1436,0,0,0,0,0,0,0,0,0,0,0
26064,26,0,0,0,1774,0,0,0,0,0,0,0,0,0,0,0
26065,26,0,0,0,1762,0,0,0,0,0,0,0,0,0,0,0
26066,26,0,0,0,9552,0,0,0,0,0,0,0,0,0,0,0
26067,26,0,0,0,1814,0,0,0,0,0,0,0,0,0,0,0
26068,26,0,0,0,1258,0,0,0,0,0,0,0,0,0,0,0
26069,26,0,0,0,6154,0,0,0,0,0,0,0,0,0,0,0
26070,26,0,0,0,16723,0,0,0,0,0,0,0,0,0,0,0
26071,26,0,0,0,22839,0,0,0,0,0,0,0,0,0,0,0
26072,26,0,0,0,14633,0,0,0,0,0,0,0,0,0,0,0
27001,27,195,162,78,57424,57679,58000,3.4,2.8,1.3,1,4,7,0.017,0.069,0.12
27002,27,1450,1293,1041,254592,257331,260000,5.7,5,4,18,10,7,0.071,0.039,0.027
27003,27,256,261,224,103840,104597,110000,2.5,2.5,2.1,2,2,3,0.019,0.019,0.028
27004,27,6400,5553,5400,661290,670640,680000,9.7,8.3,8,61,48,39,0.092,0.072,0.057
27005,27,986,757,737,196952,198788,2e+05,5,3.8,3.7,7,9,18,0.036,0.045,0.09
27006,27,732,723,681,129442,130784,130000,5.7,5.5,5.2,22,9,9,0.17,0.069,0.068
27007,27,154,124,138,30178,30464,31000,5.1,4.1,4.5,1,2,2,0.033,0.066,0.065
27008,27,623,689,535,182338,183676,190000,3.4,3.8,2.9,18,9,17,0.099,0.049,0.092
27009,27,86,91,101,37078,37348,38000,2.3,2.4,2.7,1,3,3,0.027,0.08,0.08
27010,27,303,252,206,85590,86588,87000,3.5,2.9,2.4,2,0,0,0.023,0,0
27011,27,114,100,56,29782,29873,30000,3.8,3.3,1.9,1,0,0,0.034,0,0
27012,27,537,360,45,155467,156498,160000,3.5,2.3,0.29,8,5,0,0.051,0.032,0
